"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"2720","1301",40,"1","0","1","0","0","0","1","2","2","2",30,1,"1","2","1","2","2","1","3","3","3","1","0","16","1",180000,50,"1","0","2","88","920","0","1","1","770","37","9999","0","1","1","6700","0",180000,180000,"42","2","1290","1","2","3","9","9000","17","0","0","2","0","1","0","0","1",0
"2721","507",115,"1","0","1","0","0","1","2","1","2","2",35,1,"1","2","3","1","2","1","3","3","3","1","0","1","2",5500,55,"1","0","1","50","999","0","1","1","5090","45","9999","0","4","1","4700","4",5500,5500,"25","1","500","1","2","1","1","1000","1","0","0","1","0","1","0","0","1",0
"2723","613",76,"1","0","0","0","0","0","2","2","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","21","2",0,0,"2","0","2","148","142","0","0","6","9920","0","9999","0","1","1","9920","2",0,0,"25","1","0","2","2","3","1","1000","1","0","0","1","0","1","2","2","1",0
"2724","1104",60,"1","0","1","0","0","0","1","2","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","14","2",0,0,"2","0","2","998","924","0","0","6","7280","0","9999","0","1","1","5110","4",0,19000,"25","2","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",1
"2725","902",50,"1","0","1","0","0","0","1","2","2","2",45,1,"1","2","1","1","2","1","3","3","3","1","0","22","2",1e+05,60,"0","0","4","999","999","0","1","1","3895","58","9999","0","1","1","4850","4",1e+05,1e+05,"25","2","600","1","2","4","1","1000","1","0","0","1","0","1","2","2","1",0
"2727","607",47,"1","0","1","0","2","0","1","2","2","2",50,0,"9","2","1","1","2","3","3","3","3","1","0","21","2",170000,40,"1","0","1","21","999","0","0","1","7460","57","9999","3","1","1","51","4",170000,174000,"25","2","600","1","2","2","1","1000","1","0","0","1","0","1","1","2","1",0
"2728","613",17,"1","0","2","0","0","1","2","1","2","1",0,0,"11","2","5","0","0","1","3","3","3","3","15","19","1",1600,10,"1","0","2","308","902","0","0","1","7890","0","9999","0","6","1","2722","0",1600,1600,"36","0","600","1","1","3","2","3000","2","0","1","1","0","0","0","0","1",0
"2729","605",71,"1","0","4","0","0","0","1","2","1","2",0,0,"0","2","1","1","2","1","1","2","2","1","0","16","1",25000,30,"2","0","1","795","999","0","0","2","8680","0","9999","0","1","1","4110","0",25000,37000,"25","2","0","1","1","4","6","4000","5","1","0","1","0","0","0","0","1",0
"2730","704",20,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","5","0","0","1","2","2","2","1","0","22","2",0,0,"2","0","1","50","999","0","0","6","9920","0","9999","0","6","1","9920","0",0,4700,"25","1","0","2","1","2","1","1000","1","0","0","1","0","1","1","2","1",1
"2732","801",64,"1","0","1","0","0","0","1","2","2","2",50,0,"4","2","5","0","0","3","3","3","3","1","0","21","1",36000,38,"1","0","1","50","999","0","0","1","7670","63","9999","3","6","1","5240","0",36000,36000,"25","1","800","1","2","2","1","1000","1","0","0","1","0","1","1","2","1",0
"2733","601",97,"4","2","2","1","2","2","2","1","2","2",0,0,"11","1","1","1","2","1","3","3","3","1","0","21","2",150000,40,"1","3","1","615","999","6","0","1","7870","0","1350","0","1","2","1021","2",150000,180000,"210","2","600","1","2","2","9","9000","58","1","0","2","1","0","1","2","4",0
"2734","608",8,"4","2","0","3","0","0","2","2","1","1",0,0,"0","1","3","1","2","1","3","3","3","1","0","5","1",0,0,"0","3","1","706","999","7","0","6","9920","0","1970","0","4","2","9920","0",0,130000,"207","0","0","2","1","2","6","4000","5","1","0","1","0","0","0","0","4",1
"2735","502",64,"1","0","6","0","0","0","1","2","2","2",25,1,"1","2","1","1","2","1","3","3","3","1","0","21","2",4100,25,"1","0","2","84","50","0","1","1","4771","82","9999","0","1","1","6050","4",13100,11000,"25","2","500","1","2","4","1","1000","1","0","0","1","0","1","1","2","1",0
"2736","608",153,"1","0","2","0","0","0","2","2","1","2",0,0,"0","2","2","1","2","1","2","2","2","1","0","20","2",0,0,"2","0","1","50","999","0","0","6","8191","0","9999","0","3","1","3255","4",0,60000,"25","1","0","2","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2737","904",37,"1","0","1","0","2","0","2","2","2","1",30,2,"1","2","5","0","0","1","3","3","3","1","0","16","2",27400,19,"1","0","2","50","46","0","2","1","8470","49","9999","0","6","1","4600","4",27400,27400,"25","2","900","2","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"2738","904",59,"4","2","0","2","0","0","2","2","2","1",0,0,"0","1","5","0","0","1","2","2","2","1","0","11","1",0,0,"2","3","1","706","999","5","0","6","9920","0","1970","0","6","2","9920","0",0,300,"247","2","0","2","1","1","6","4000","5","1","0","1","0","0","0","0","4",0
"2739","505",138,"1","0","1","0","0","0","1","2","2","2",15,1,"1","2","5","0","0","1","3","3","3","1","0","21","1",85000,40,"1","0","1","935","999","0","1","1","2190","55","9999","0","6","1","1530","0",85000,85000,"25","2","500","1","2","2","1","1000","1","0","0","1","0","1","1","2","1",0
