"","RT","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","HICOV","HISP","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","WAOB","Class"
"1887","P","1",1,"401","1","25","1019518",69,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",2022,"1","4","3","5","3","3","3","0","0","0","1","24","0","2","0","0",1e+05,40,"52","1","2","51","50","1","1","1","8170","1","1","0","3160",1e+05,1e+05,"9",501,"400","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1888","P","1",1,"605","1","25","1019518",57,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","2","2","2","3","2",2008,"1","2","3","5","3","3","3","0","0","0","1","17","0","1","0","0",0,40,"52","1","2","50","51","6","1","1","7860","3","1","0","3255",0,0,"25",449,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1890","P","1",3,"804","1","25","1019518",74,"1","1","2","0","2","2","2","2","2","2","2","0","1","1","5","2","2","1","2",1994,"3","4","2","5","2","2","3","0","0","0","3","21","0","1","0","0",0,40,"52","2","1","615","999","6","2","1","7860","6","1","0","3255",0,0,"18",0,"600","25","2","2","3","6","4015","4","0","1","0","0","1","0","0","0","0","1","No"
"1891","P","1",1,"612","1","25","1019518",62,"1","1","2","2","2","1","1","2","2","2","2","0","1","2","2","2","2","1","2",1971,"1","4","3","5","2","2","3","0","0","28700","1","18","0","2","0","24000",0,40,"52","2","2","22","50","6","1","1","2370","3","1","0","5710",0,52700,"25",373,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1892","P","1",2,"901","1","25","1019518",72,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1997,"1","4","3","5","3","3","3","0","0","0","1","22","0","1","0","0",150000,40,"52","1","2","22","50","1","1","1","770","1","1","0","220",150000,150000,"25",501,"800","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1893","P","1",1,"906","1","25","1019518",57,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1991,"1","4","3","5","3","3","3","0","0","0","1","21","0","1","0","0",80000,40,"52","1","2","32","50","1","1","1","5276","1","1","0","4700",80000,80000,"17",501,"900","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1896","P","1",1,"703","1","25","1019518",53,"1","1","2","0","2","2","1","2","2","2","2","200","1","2","1","2","2","2","2",2008,"1","4","3","5","3","3","3","0","0","1500","1","22","0","1","0","0",65000,40,"52","1","2","51","142","1","1","1","3380","1","1","0","600",65000,66700,"25",501,"700","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1897","P","1",1,"704","1","25","1019518",88,"1","1","2","2","2","1","1","2","2","2","2","0","1","2","2","2","2","1","2",1952,"1","4","2","5","2","2","3","0","0","0","1","16","0","2","0","1600",0,40,"52","2","1","82","999","6","1","1","7860","3","1","0","3255",0,1600,"6",11,"600","25","1","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"1898","P","1",1,"1001","1","25","1019518",93,"1","7","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","19","0","2","0","0",52000,40,"49","1","2","935","50","1","1","1","3390","6","1","0","5940",52000,52000,"25",339,"900","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1900","P","1",1,"1001","1","25","1019518",119,"1","1","2","2","2","1","1","2","2","2","2","10500","1","2","3","2","2","3","2",1985,"1","4","2","5","2","2","3","0","0","0","1","19","0","2","0","15700",0,40,"52","2","1","22","999","6","1","1","7860","4","1","0","3255",0,26200,"25",467,"600","25","1","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
