"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"952",1003,193,4,0,2,2,1,1,2,0,2,3,3,4,2,5,2,2,0,1,1,2,0,0,4,999,999,6,4,2,0,129,2,1,1,1,1000,1,0,0,1,0,1,5,"0"
"953",609,73,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,21,1,0,53000,2,32,94,1,6,1,53000,31,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"954",602,69,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,68000,1,50,999,1,1,1,68000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"956",602,83,1,2,2,1,2,2,2,10,1,5,3,4,2,5,2,2,20000,2,19,1,0,20800,1,336,999,6,6,1,40810,25,1,2,4,2,3000,2,0,1,1,0,0,1,"0"
"957",100,100,1,0,1,2,2,2,2,0,2,1,1,2,3,5,3,3,0,1,22,2,0,112000,1,50,999,1,1,1,112000,19,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"958",301,33,1,0,1,2,2,2,2,0,2,5,3,4,2,5,2,2,0,2,18,1,0,7200,1,26,999,6,6,1,7200,33,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"960",506,54,1,2,2,1,1,2,2,1200,2,1,1,4,2,5,2,2,0,1,20,1,30000,0,2,24,11,6,1,1,31200,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"961",502,31,1,0,2,2,1,2,2,0,2,1,1,4,3,5,3,3,2100,1,14,2,2100,0,4,999,999,6,1,1,4200,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"962",901,46,1,0,1,2,1,2,2,0,2,1,1,4,2,5,2,2,62000,1,22,2,4300,0,1,142,999,6,1,1,66300,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"964",201,71,1,0,2,2,1,2,2,0,1,2,1,4,2,5,2,2,15800,1,22,2,13200,0,1,142,999,6,3,1,29000,34,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
