"SPORDER","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
3,701,-0.581769641163534,4,0,1,2,2,2,2,-0.134550377530303,1,5,1,4,3,5,3,3,-0.27456392637561,3,12,1,-0.451796206396106,-0.569249715093146,4,999,999,3,6,2,-0.702337469552238,130,1,2,1,1,1000,1,0,0,1,0,1,5,0
1,607,-0.225444179066587,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,2,5,2,2,4.1366672580142,1,16,2,-0.451796206396106,-0.606111435888042,2,51,50,6,1,1,0.0256165265723581,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
1,1104,-0.146260743045043,4,0,1,2,2,2,2,-0.134550377530303,1,3,1,4,3,5,3,3,-0.27456392637561,1,24,1,-0.451796206396106,1.63016629233565,4,999,999,1,4,2,1.30233584285242,138,1,2,3,1,1000,1,0,0,1,0,1,5,0
2,501,0.2628536763996,1,0,2,2,1,2,2,-0.134550377530303,2,1,1,4,2,5,2,2,-0.0799507858878241,1,20,2,-0.451796206396106,-0.606111435888042,2,142,32,6,1,1,-0.702337469552238,9,2,1,1,1,1000,1,0,0,1,0,1,1,0
1,901,-0.608164119837382,5,0,1,2,2,2,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,24,2,-0.451796206396106,2.46569863035329,1,706,999,1,1,2,2.06388771572123,207,1,2,4,6,4000,5,1,0,1,0,0,4,0
3,613,0.0912895650195883,4,0,2,2,1,1,2,-0.134550377530303,1,2,1,4,2,5,2,2,-0.27456392637561,1,21,1,-0.451796206396106,-0.606111435888042,1,148,999,6,3,2,-0.657540300559955,163,2,1,1,1,1000,1,0,0,1,0,1,5,1
2,403,-0.779728231217394,1,0,1,2,1,2,2,-0.134550377530303,2,1,1,4,1,1,2,3,0.121149459282888,1,16,2,-0.451796206396106,-0.0286111434346717,2,88,190,2,1,1,-0.141252927923896,36,1,1,4,1,1000,1,0,0,1,0,1,1,0
1,703,0.0121061289980445,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,16,1,-0.451796206396106,1.23697460385676,2,50,51,1,6,1,0.943958490914157,25,1,2,1,1,1000,1,0,0,1,0,1,1,0
3,602,-0.370613811772751,1,0,1,2,2,1,2,-0.134550377530303,1,5,1,4,3,5,3,3,-0.27456392637561,1,13,2,-0.451796206396106,-0.544675234563216,4,999,999,2,6,1,-0.679938885056097,25,1,1,2,6,4007,10,1,0,1,0,0,1,0
1,503,-0.555375162489686,4,2,1,1,2,2,2,-0.134550377530303,1,4,1,4,3,5,3,3,-0.27456392637561,1,24,1,-0.451796206396106,3.08006064360156,1,148,999,1,5,2,2.62385232812476,163,1,2,2,1,1000,1,0,0,1,0,1,5,0
